,id,base_currency,quote_currency,base_min_size,base_max_size,quote_increment,base_increment,display_name,min_market_funds,max_market_funds,margin_enabled,fx_stablecoin,max_slippage_percentage,post_only,limit_only,cancel_only,trading_disabled,status,status_message,auction_mode
262,ETH-USD,ETH,USD,0.001,2800,0.01,0.00000001,ETH/USD,5,4000000,False,False,0.10000000,False,False,False,False,online,,False
263,PLA-USD,PLA,USD,1,1400000,0.0001,0.1,PLA/USD,5.0,100000,False,False,0.10000000,False,False,False,False,online,,False
264,BNT-BTC,BNT,BTC,1,95000,0.00000001,1,BNT/BTC,0.0001,5.1,False,False,0.10000000,False,False,False,False,online,,False
265,RAD-BTC,RAD,BTC,0.1,32000,0.0000001,0.01,RAD/BTC,0.0001,2,False,False,0.10000000,False,True,False,False,online,,False
266,NMR-BTC,NMR,BTC,0.01,3900,0.00000001,0.001,NMR/BTC,0.0001,10,False,False,0.10000000,False,False,False,False,online,,False
267,TRU-BTC,TRU,BTC,1,490000,0.0000001,0.1,TRU/BTC,0.0001,2,False,False,0.10000000,False,False,False,False,online,,False
268,LTC-BTC,LTC,BTC,0.01,8000,0.000001,0.00000001,LTC/BTC,0.001,120,False,False,0.10000000,False,False,False,False,online,,False
269,UMA-GBP,UMA,GBP,0.01,4500,0.001,0.001,UMA/GBP,1.0,100000,False,False,0.10000000,False,False,False,False,online,,False
270,ETH-USDC,ETH,USDC,0.001,2800,0.01,0.00000001,ETH/USDC,10,1000000,False,False,0.10000000,False,False,False,False,online,,False
271,ORN-BTC,ORN,BTC,0.1,43000,0.0000001,0.01,ORN/BTC,0.0001,2,False,False,0.10000000,False,False,False,False,online,,False
272,SUSHI-ETH,SUSHI,ETH,0.1,12500,0.000001,0.01,SUSHI/ETH,0.002,50,False,False,0.10000000,False,False,False,False,online,,False
273,ETC-GBP,ETC,GBP,0.1,20000,0.001,0.00000001,ETC/GBP,10,100000,False,False,0.10000000,False,False,False,False,online,"Our ETC order books are now in full-trading mode. Limit, market and stop orders are all now available.",False
274,QUICK-USD,QUICK,USD,0.001,750,0.01,0.0001,QUICK/USD,5.0,100000,False,False,0.10000000,False,True,False,False,online,,False
275,XYO-EUR,XYO,EUR,100,27000000,0.000001,0.1,XYO/EUR,5,100000,False,False,0.10000000,False,True,False,False,online,,False
276,DASH-USD,DASH,USD,0.01,1500,0.001,0.001,DASH/USD,1,200000,False,False,0.10000000,False,False,False,False,online,,False
277,SNX-GBP,SNX,GBP,0.1,19000,0.0001,0.001,SNX/GBP,1.0,82000,False,False,0.10000000,False,False,False,False,online,,False
278,ZEN-USDT,ZEN,USDT,0.01,3000,0.01,0.001,ZEN/USDT,5,100000,False,False,0.10000000,False,True,False,False,online,,False
279,COTI-USD,COTI,USD,1,1200000,0.0001,0.1,COTI/USD,5,100000,False,False,0.10000000,False,False,False,False,online,,False
280,OMG-USD,OMG,USD,1,500000,0.0001,0.1,OMG/USD,1,200000,False,False,0.10000000,False,False,False,False,online,,False
281,ACH-USD,ACH,USD,100,180000000,0.000001,0.1,ACH/USD,5.0,100000,False,False,0.10000000,False,False,False,False,online,,False
282,IOTX-USDT,IOTX,USDT,10,13000000,0.00001,1,IOTX/USDT,5.0,100000,False,False,0.10000000,False,False,False,False,online,,False
283,MANA-BTC,MANA,BTC,0.1,220000,0.0000001,0.01,MANA/BTC,0.0001,2,False,False,0.10000000,False,False,False,False,online,,False
284,RLC-USD,RLC,USD,0.1,93000,0.001,0.01,RLC/USD,5.0,100000,False,False,0.10000000,False,False,False,False,online,,False
285,RAD-USD,RAD,USD,0.1,32000,0.01,0.01,RAD/USD,5,100000,False,False,0.10000000,False,False,False,False,online,,False
286,CHZ-GBP,CHZ,GBP,1,900000,0.0001,0.1,CHZ/GBP,5.0,100000,False,False,0.10000000,False,False,False,False,online,,False
287,DOT-BTC,DOT,BTC,0.01,10000,0.0000001,0.001,DOT/BTC,0.0001,2,False,False,0.10000000,False,False,False,False,online,,False
288,AAVE-BTC,AAVE,BTC,0.01,1200,0.00000001,0.001,AAVE/BTC,0.0001,5.2,False,False,0.10000000,False,False,False,False,online,,False
289,AAVE-USD,AAVE,USD,0.01,1200,0.001,0.001,AAVE/USD,1.0,500000,False,False,0.10000000,False,False,False,False,online,,False
290,NU-EUR,NU,EUR,10,1300000,0.0001,0.000001,NU/EUR,1.0,84000,False,False,0.10000000,False,False,False,False,online,,False
291,BAND-USD,BAND,USD,0.1,18000,0.0001,0.01,BAND/USD,1.0,100000,False,False,0.10000000,False,False,False,False,online,,False
